iter	Passed	Remaining
0	8	8317
1	10	5363
2	13	4423
3	16	4120
4	19	3800
5	21	3598
6	24	3473
7	27	3349
8	30	3314
9	33	3245
10	36	3220
11	38	3156
12	41	3102
13	43	3068
14	47	3074
15	50	3054
16	52	3023
17	55	2999
18	58	2972
19	61	2969
20	64	2960
21	66	2948
22	69	2929
23	72	2905
24	74	2895
25	78	2899
26	80	2887
27	83	2873
28	86	2858
29	89	2860
30	92	2856
31	95	2855
32	97	2837
33	100	2818
34	102	2808
35	105	2791
36	107	2785
37	110	2774
38	112	2760
39	115	2744
40	118	2740
41	120	2731
42	123	2735
43	126	2732
44	129	2723
45	132	2726
46	135	2726
47	138	2726
48	141	2721
49	143	2712
50	146	2703
51	149	2704
52	152	2695
53	155	2694
54	158	2693
55	160	2685
56	163	2683
57	166	2679
58	169	2678
59	172	2681
60	175	2677
61	178	2675
62	181	2669
63	183	2665
64	187	2669
65	190	2666
66	193	2666
67	195	2662
68	198	2658
69	201	2657
70	204	2651
71	207	2651
72	210	2647
73	212	2642
74	215	2637
75	218	2636
76	221	2631
77	224	2628
78	227	2623
79	229	2619
80	232	2615
81	235	2610
82	238	2608
83	241	2606
84	243	2602
85	246	2598
86	249	2597
87	253	2599
88	255	2594
89	258	2588
90	260	2583
91	263	2580
92	267	2581
93	269	2576
94	273	2580
95	276	2578
96	278	2573
97	282	2576
98	285	2571
99	287	2566
100	290	2558
101	292	2552
102	295	2553
103	298	2548
104	300	2541
105	303	2536
106	306	2531
107	308	2527
108	312	2528
109	314	2524
110	317	2518
111	319	2512
112	322	2507
113	325	2503
114	327	2500
115	330	2496
116	333	2492
117	335	2487
118	338	2482
119	341	2483
120	344	2480
121	347	2476
122	350	2472
123	352	2467
124	355	2464
125	358	2462
126	361	2460
127	363	2454
128	366	2449
129	368	2445
130	371	2440
131	374	2441
132	377	2437
133	380	2436
134	383	2432
135	385	2428
136	389	2428
137	391	2425
138	394	2420
139	397	2418
140	400	2416
141	403	2412
142	406	2410
143	408	2408
144	411	2404
145	414	2401
146	417	2397
147	420	2395
148	423	2393
149	425	2390
150	428	2388
151	431	2385
152	434	2381
153	437	2379
154	440	2377
155	443	2374
156	445	2370
157	448	2366
158	451	2365
159	454	2363
160	457	2360
161	460	2357
162	463	2354
163	466	2353
164	468	2350
165	472	2349
166	474	2346
167	477	2343
168	480	2340
169	483	2339
170	486	2337
171	489	2333
172	492	2331
173	494	2327
174	498	2325
175	501	2323
176	503	2320
177	506	2317
178	509	2313
179	512	2310
180	515	2309
181	518	2307
182	521	2304
183	523	2300
184	526	2296
185	529	2295
186	532	2294
187	535	2290
188	538	2287
189	541	2283
190	543	2279
191	546	2277
192	549	2274
193	552	2271
194	554	2268
195	557	2265
196	560	2263
197	563	2259
198	566	2255
199	568	2252
200	571	2248
201	574	2246
202	577	2244
203	580	2240
204	582	2236
205	585	2232
206	587	2228
207	590	2227
208	593	2224
209	596	2220
210	599	2217
211	601	2213
212	604	2211
213	607	2209
214	610	2205
215	612	2202
216	615	2198
217	618	2196
218	621	2192
219	624	2189
220	626	2187
221	629	2183
222	632	2181
223	634	2177
224	637	2174
225	640	2171
226	643	2168
227	646	2165
228	648	2161
229	651	2158
230	654	2156
231	657	2153
232	659	2149
233	663	2148
234	666	2145
235	668	2142
236	671	2140
237	674	2136
238	677	2133
239	679	2130
240	682	2126
241	685	2125
242	688	2122
243	692	2123
244	695	2119
245	697	2115
246	700	2113
247	703	2111
248	706	2108
249	709	2104
250	711	2101
251	714	2096
252	717	2094
253	719	2091
254	722	2087
255	725	2084
256	727	2081
257	730	2077
258	733	2074
259	736	2072
