Transaction Frequency,Transaction Volume (ETH),Largest Transaction (ETH),Average Transaction Value (ETH),Liquidation Event Count,Average Health Factor,Collateral Utilization,Total Outstanding Debt (USD),Average Debt Size (USD),Debt-to-Asset Ratio,Repayment Activity Proxy,Earnings Efficiency,Protocol Diversity,Lending Protocol Count,Liquidity Provision Count,Token Swap Count,Wallet Age (Days),DeFi Engagement Duration (Days),Cluster,Credit Score,FICO Range
0.019990547277873864,0.00093546980633217,0.002678154083445412,0.0035964113384718333,0.0,1.675201832335764e-06,5.811106754993404e-10,0.0012071041143799721,0.0013599874633132563,2.1246670057095665e-06,0.03275529678758246,0.851176225467191,0.12499989062498633,0.49999974999987495,0.0,0.004494380903926271,0.11860174754013786,0.10595390496349356,0.25,0.40909090909090917,Poor (300-579)
0.015510396044905858,0.001001795397380529,0.0021042639145086783,0.0016548711679541081,0.0,9.062009912026442e-07,0.0,0.0,0.0,0.0,0.055876684115369335,0.8511762257494301,0.2499999062499883,0.0,0.0,0.005617976410806715,0.36860174761816533,0.37708066561366216,0.75,0.6272727272727272,Fair (580-669)
0.00564272117735607,1.526109747249005e-05,4.667636214750973e-05,4.3554989992169226e-05,0.0,9.062009912026442e-07,0.0,0.0,0.0,0.0,0.0,0.8511762257494301,0.0,0.0,0.0,0.0,0.5867665416937473,0.505761843631806,1.0,0.6909090909090909,Good (670-739)
0.03274101987971741,0.00021127027981527038,0.00024639014093749304,0.00023024412214728702,0.0,9.854010778316988e-07,9.712840486576937e-10,0.00048541382069811686,0.00016406788017805324,3.663401367234489e-05,0.15414258025846353,0.851176225250084,0.2499999062499883,0.9999999999999999,0.0,0.016853931479611155,0.26123595482560424,0.2080665810525181,0.25,0.410909090909091,Poor (300-579)
0.004073723066232253,8.621326526204617e-05,0.0005356307860816066,0.00039120151462273314,0.0,3.470503796037052e-06,2.862827473844436e-10,0.0002062843625760094,0.0001162054472513501,7.986692914806071e-07,0.015414256291742305,0.8511762256563842,0.37499992187499026,0.49999974999987495,0.09999990999999099,0.011235953945208937,0.5137328338057842,0.26696542870261375,0.25,0.2581818181818182,Poor (300-579)
0.0023818516090565703,0.0003394274823505949,0.0013199473502951424,0.0023301953150679905,0.0,9.062009912026442e-07,0.0,0.0,0.0,0.0,0.0,0.8511762257494301,0.0,0.0,0.0,0.0,0.5792759049872895,0.5941101151069494,1.0,0.7290909090909092,Good (670-739)
0.01811909169954546,0.00012917221619948867,0.0004744158347283551,0.0011875452499175714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8511762264333171,0.2499999062499883,0.0,0.0,0.0,0.05337078622140161,0.05473751570254082,0.0,0.9727272727272727,Exceptional (800-850)
0.0021455567128029836,1.078828782412447e-05,0.0001912966847195666,7.598770354675538e-05,0.0,9.062009912026442e-07,0.0,0.0,0.0,0.0,0.023121385401004595,0.8511762257494301,0.12499989062498633,0.0,0.0,0.0,0.6229712857749597,0.6389244557102831,1.0,0.6890909090909092,Good (670-739)
0.00433837335003627,7.586180021219058e-06,0.00019090261347023003,2.2379912547439422e-05,0.0,9.062009912026442e-07,0.0,0.0,0.0,0.0,0.0,0.8511762257494301,0.12499989062498633,0.0,0.39999993999999395,0.005617976410806715,0.7390761547250548,0.7519206145172601,0.75,0.510909090909091,Fair (580-669)
0.0024385623841574316,1.971969792593767e-06,1.0341462584895342e-05,4.2482834172182905e-05,0.0,9.062009912026442e-07,0.0,0.0,0.0,0.0,0.0,0.8511762257494301,0.2499999062499883,0.0,0.0,0.0,0.17883895105456893,0.05537772056830273,1.0,0.7636363636363637,Good (670-739)
