Wallet Address,Transaction Frequency,Transaction Volume (ETH),Largest Transaction (ETH),Average Transaction Value (ETH),Liquidation Event Count,Average Health Factor,Collateral Utilization,Total Outstanding Debt (USD),Average Debt Size (USD),Debt-to-Asset Ratio,Repayment Activity Proxy,Earnings Efficiency,Protocol Diversity,Lending Protocol Count,Liquidity Provision Count,Token Swap Count,Wallet Age (Days),DeFi Engagement Duration (Days)
0x68bba2a2fa5a53fbd59f38bb61af8c523599770c,21.15,737.9504,70.0,2.6835,0,1.769,0.4693,136730.44,45576.81333333333,14.0177,17.0,-0.0182,1.0,1.0,0.0,4.0,380.0,331.0
0x26e547a9f3fd90e49a9a85a91001ca3f7ba2c81d,16.41,790.2717,55.0,1.2348,0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,0.0,0.0,5.0,1181.0,1178.0
0x0a54c9c8336dfe9860152422df40b0255ab4a411,5.97,12.0388,1.22,0.0325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880.0,1580.0
0xd23b2ca9f8f0c724ae6435359bd2c950502886b4,34.64,166.6617,6.44,0.1718,0,1.0792,0.7844,54983.53,5498.353,241.6965,80.0,-0.0322,2.0,2.0,0.0,15.0,837.0,650.0
0x981c36712c522663892f0969cd095d3603f348b2,4.31,68.0098,14.0,0.2919,0,3.5643,0.2312,23366.13,3894.355,5.2693,8.0,-0.006,3.0,1.0,1.0,10.0,1646.0,834.0
0x04cc610cbd3120f6993d05ba35282311dd058dd2,2.52,267.7592,34.5,1.7387,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856.0,1856.0
0x9eb0fcfe1f73354c1a60ba4976841af29777f197,19.17,101.8982,12.4,0.8861,0,inf,0.0,0.0,0.0,0.0,0.0,0.0441,2.0,0.0,0.0,0.0,171.0,171.0
0xdddf042067c809f38e0939a76ca20d945d756c6c,2.27,8.5104,5.0,0.0567,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1996.0,1996.0
0xb98d3062d2607fcd1e5f7f0fa71ef334920ce933,4.59,5.9844,4.9897,0.0167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,2368.0,2349.0
0xacb69081c5cce35c1f5eb5a840d1b82f845f749b,2.58,1.5556,0.2703,0.0317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,573.0,173.0
