Transaction Frequency,Transaction Volume (ETH),Largest Transaction (ETH),Average Transaction Value (ETH),Liquidation Event Count,Average Health Factor,Collateral Utilization,Total Outstanding Debt (USD),Average Debt Size (USD),Debt-to-Asset Ratio,Repayment Activity Proxy,Earnings Efficiency,Protocol Diversity,Lending Protocol Count,Liquidity Provision Count,Token Swap Count,Wallet Age (Days),DeFi Engagement Duration (Days),Cluster,FICO Range,Credit Score
21.15,737.9504,70.0,2.6835,1e-06,1.769,0.4693,136730.44,45576.81333333333,14.0177,17.0,-0.0182,1.0,1.0,1e-06,4.0,380.0,331.0,1,Poor (300-579),525
16.41,790.2717,55.0,1.2348,1e-06,1.0,1e-06,0.0,0.0,1e-06,29.0,0.0,2.0,1e-06,1e-06,5.0,1181.0,1178.0,3,Fair (580-669),645
5.97,12.0388,1.22,0.0325,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1880.0,1580.0,4,Good (670-739),680
34.64,166.6617,6.44,0.1718,1e-06,1.0792,0.7844,54983.53,5498.353,241.6965,80.0,-0.0322,2.0,2.0,1e-06,15.0,837.0,650.0,1,Poor (300-579),526
4.31,68.0098,14.0,0.2919,1e-06,3.5643,0.2312,23366.13,3894.355,5.2693,8.0,-0.006,3.0,1.0,1.0,10.0,1646.0,834.0,1,Poor (300-579),442
2.52,267.7592,34.5,1.7387,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1856.0,1856.0,4,Good (670-739),701
19.17,101.8982,12.4,0.8861,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0441,2.0,1e-06,1e-06,1e-06,171.0,171.0,0,Exceptional (800-850),835
2.27,8.5104,5.0,0.0567,1e-06,1.0,1e-06,0.0,0.0,1e-06,12.0,0.0,1.0,1e-06,1e-06,1e-06,1996.0,1996.0,4,Good (670-739),679
4.59,5.9844,4.9897,0.0167,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1.0,1e-06,4.0,5.0,2368.0,2349.0,3,Fair (580-669),581
2.58,1.5556,0.2703,0.0317,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,2.0,1e-06,1e-06,1e-06,573.0,173.0,4,Good (670-739),720
2.25,0.0699,0.0381,0.0078,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,110.0,107.0,4,Good (670-739),683
0.2,2.7942,0.9872,0.3105,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1396.0,818.0,4,Good (670-739),713
27.08,463.4812,73.7,1.4261,1e-06,2.2204,0.0927,37982.83,7596.566000000001,7.2033,45.0,-0.006,3.0,1.0,1e-06,1e-06,348.0,278.0,1,Poor (300-579),481
0.8,0.562,0.0909,0.017,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1245.0,1e-06,2,Very Good (740-799),779
20.0,3.188,1.0892,0.1594,1e-06,5.4349,0.1466,2020.91,505.2275,49.1347,4.0,-0.0056,1.0,1.0,1e-06,1.0,2.0,2.0,2,Very Good (740-799),797
4.45,285.6183,45.5,1.3666,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0123,3.0,1e-06,1e-06,33.0,1442.0,1434.0,0,Exceptional (800-850),840
59.67,7513.0588,168.0,2.064,1e-06,1.0,1e-06,0.0,0.0,1e-06,151.0,0.0,1.0,1e-06,1.0,96.0,1847.0,1845.0,3,Fair (580-669),661
4.0,0.0223,0.0123,0.0011,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0362,1.0,1e-06,1e-06,1e-06,154.0,39.0,0,Exceptional (800-850),815
121.86,46302.0781,1916.1806,13.1019,1e-06,999999.0,1e-06,0.0,0.0,1e-06,2.0,0.0416,2.0,1e-06,1e-06,168.0,874.0,625.0,0,Exceptional (800-850),801
1.36,2.0109,0.6841,0.0268,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1679.0,1574.0,4,Good (670-739),685
2.33,64.6553,24.0,2.3091,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1.0,1e-06,1e-06,7.0,377.0,1e-06,2,Very Good (740-799),788
11.0,0.017,0.017,0.0015,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0002,1.0,1e-06,1e-06,1e-06,9.0,1e-06,0,Exceptional (800-850),806
6.81,7.536,3.2711,0.0527,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1.0,1e-06,1e-06,1e-06,633.0,59.0,4,Good (670-739),724
1.43,1.7691,0.1333,0.0281,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1345.0,1317.0,4,Good (670-739),717
0.28,0.0634,0.0369,0.0037,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1841.0,1520.0,4,Good (670-739),681
0.79,29.0052,14.5,2.6368,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,429.0,13.0,2,Very Good (740-799),787
4.75,0.1276,0.1276,0.0067,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,113.0,113.0,4,Good (670-739),683
1.85,0.3257,0.145,0.0088,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,600.0,600.0,4,Good (670-739),721
2.94,12.0984,4.1,0.1141,1e-06,1.0,1e-06,0.0,0.0,1e-06,5.0,0.0,1.0,1e-06,1e-06,1e-06,1098.0,1096.0,4,Good (670-739),730
19.22,273.8433,80.0,1.5829,1e-06,1.837,0.4292,378538.67,63089.77833333333,18.8769,13.0,-0.0292,3.0,1.0,1e-06,1e-06,274.0,274.0,1,Poor (300-579),355
8.0,0.0219,0.0219,0.0027,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0362,1.0,1e-06,1e-06,1e-06,38.0,38.0,0,Exceptional (800-850),811
4.0,9.0,9.0,2.25,1e-06,4.8645,0.1707,4002.11,2001.055,1.4799,1.0,0.0065,1.0,1.0,1e-06,1e-06,2.0,2.0,2,Very Good (740-799),798
6.0,1e-06,1e-06,1e-06,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1.0,1e-06,1e-06,1e-06,3.0,1e-06,0,Exceptional (800-850),804
9.0,0.02,0.0107,0.0022,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,7.0,7.0,2,Very Good (740-799),740
25.0,0.0159,0.0159,0.0006,1e-06,1.5087,0.5178,31117.62,15558.81,246.4957,4.0,-0.0364,1.0,1.0,1e-06,1e-06,27.0,27.0,1,Poor (300-579),485
5.0,0.0003,0.0003,0.0001,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0362,1.0,1e-06,1e-06,1e-06,2.0,2.0,0,Exceptional (800-850),804
6.74,36.802,7.4,0.1092,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1504.0,1504.0,4,Good (670-739),709
4.45,30.3716,15.0,0.1797,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0416,2.0,1e-06,1e-06,4.0,1153.0,107.0,0,Exceptional (800-850),830
3.5,20.7012,5.0,0.174,1e-06,1.8162,0.4159,17129.89,5709.963333333333,3.2763,5.0,-0.0273,1.0,1.0,1e-06,2.0,1045.0,702.0,1,Poor (300-579),433
16.0,371.2253,58.3183,2.9002,1e-06,1.5416,0.5074,58668.29,14667.0725,17.8343,1.0,-0.0332,2.0,1.0,1e-06,1e-06,239.0,60.0,1,Poor (300-579),530
7.68,7.6799,4.0,0.0161,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0142,5.0,1e-06,1e-06,4.0,1875.0,1242.0,0,Exceptional (800-850),804
41.0,827.7729,200.0,4.0379,1e-06,1.7296,2.8663,4102067.21,1367355.7366666666,16759.549,30.0,-0.1704,1.0,1.0,1e-06,1e-06,161.0,161.0,1,Poor (300-579),307
27.26,1253.0365,308.9153,1.4829,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,934.0,934.0,3,Fair (580-669),649
10.61,25.9126,2.8374,0.0872,1e-06,1.0097,0.7727,50.03,10.006,2.1537,2.0,-0.0148,3.0,1.0,1e-06,2.0,861.0,839.0,3,Fair (580-669),668
7.57,31.6588,4.11,0.0889,1e-06,999999.0,1e-06,0.0,0.0,1e-06,1e-06,0.0054,2.0,1e-06,1e-06,11.0,1433.0,1430.0,0,Exceptional (800-850),824
3.51,24.4677,4.0,0.1268,1e-06,1.0,1e-06,0.0,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1684.0,1684.0,4,Good (670-739),688
56.0,0.0069,0.0069,0.0001,1e-06,1.2129,0.6434,10073.34,5036.67,109.959,12.0,-0.0454,1.0,1.0,1e-06,1e-06,12.0,12.0,1,Poor (300-579),420
